promoter_id	tss_id
CPROM433	CTSS531
CPROM434	CTSS532
CPROM435	CTSS533
CPROM436	CTSS534
CPROM437	CTSS535
CPROM438	CTSS536
CPROM439	CTSS537
CPROM440	CTSS538
CPROM441	CTSS539
CPROM442	CTSS540
CPROM442	CTSS541
CPROM442	CTSS542
CPROM443	CTSS543
CPROM444	CTSS544
CPROM445	CTSS545
CPROM446	CTSS546
CPROM447	CTSS548
CPROM448	CTSS547
CPROM449	CTSS549
CPROM450	CTSS550
CPROM451	CTSS551
CPROM451	CTSS552
CPROM451	CTSS553
CPROM451	CTSS554
CPROM452	CTSS555
CPROM453	CTSS556
CPROM454	CTSS557
CPROM454	CTSS558
CPROM454	CTSS559
CPROM455	CTSS560
CPROM456	CTSS561
CPROM456	CTSS562
CPROM457	CTSS563
CPROM458	CTSS564
CPROM458	CTSS565
CPROM458	CTSS566
CPROM459	CTSS567
CPROM460	CTSS568
CPROM461	CTSS569
CPROM462	CTSS570
CPROM463	CTSS571
CPROM463	CTSS572
CPROM464	CTSS573
CPROM465	CTSS574
CPROM466	CTSS575
CPROM467	CTSS576
CPROM468	CTSS577
CPROM468	CTSS578
CPROM469	CTSS579
CPROM469	CTSS580
CPROM469	CTSS581
CPROM470	CTSS582
CPROM471	CTSS583
CPROM472	CTSS584
CPROM473	CTSS585
CPROM474	CTSS586
CPROM475	CTSS587
CPROM476	CTSS588
CPROM477	CTSS589
CPROM478	CTSS590
CPROM479	CTSS591
CPROM480	CTSS592
CPROM481	CTSS593
CPROM482	CTSS594
CPROM483	CTSS595
CPROM484	CTSS596
CPROM484	CTSS597
CPROM485	CTSS598
CPROM486	CTSS599
CPROM487	CTSS600
CPROM487	CTSS601
CPROM488	CTSS602
CPROM489	CTSS603
CPROM489	CTSS604
CPROM489	CTSS605
CPROM489	CTSS606
CPROM490	CTSS607
CPROM491	CTSS608
CPROM492	CTSS609
CPROM493	CTSS610
CPROM494	CTSS611
CPROM495	CTSS612
CPROM496	CTSS613
CPROM497	CTSS614
CPROM498	CTSS615
CPROM499	CTSS616
CPROM500	CTSS617
CPROM501	CTSS618
CPROM502	CTSS619
CPROM503	CTSS620
CPROM504	CTSS621
CPROM505	CTSS622
CPROM506	CTSS623
CPROM507	CTSS624
CPROM508	CTSS625
CPROM509	CTSS626
CPROM510	CTSS627
CPROM511	CTSS628
CPROM512	CTSS629
CPROM513	CTSS630
CPROM514	CTSS631
CPROM515	CTSS632
CPROM516	CTSS633
CPROM517	CTSS634
CPROM518	CTSS635
CPROM519	CTSS636
CPROM520	CTSS637
CPROM520	CTSS638
CPROM520	CTSS639
CPROM521	CTSS640
CPROM521	CTSS641
CPROM522	CTSS642
CPROM523	CTSS643
CPROM524	CTSS644
CPROM525	CTSS645
CPROM526	CTSS646
CPROM527	CTSS647
CPROM528	CTSS648
CPROM529	CTSS649
CPROM530	CTSS650
CPROM531	CTSS651
CPROM532	CTSS652
CPROM533	CTSS654
CPROM534	CTSS653
CPROM535	CTSS655
CPROM536	CTSS656
CPROM537	CTSS657
CPROM538	CTSS658
CPROM539	CTSS659
CPROM540	CTSS660
CPROM540	CTSS661
CPROM541	CTSS662
CPROM542	CTSS663
CPROM543	CTSS664
CPROM543	CTSS665
CPROM544	CTSS666
CPROM544	CTSS667
CPROM545	CTSS668
CPROM546	CTSS669
CPROM547	CTSS670
CPROM548	CTSS671
CPROM548	CTSS672
CPROM549	CTSS673
CPROM549	CTSS674
CPROM550	CTSS675
CPROM550	CTSS676
CPROM551	CTSS677
CPROM552	CTSS678
CPROM553	CTSS679
CPROM554	CTSS680
CPROM555	CTSS681
CPROM556	CTSS682
CPROM557	CTSS683
CPROM558	CTSS684
CPROM559	CTSS685
CPROM560	CTSS686
CPROM560	CTSS687
CPROM561	CTSS688
CPROM562	CTSS689
CPROM562	CTSS690
CPROM563	CTSS691
